[2024-05-12T20:32:24.256+0500] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-12T20:32:24.269+0500] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: extract_transform_load_data_dag.extract_data manual__2024-05-12T15:32:20.356671+00:00 [queued]>
[2024-05-12T20:32:24.273+0500] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: extract_transform_load_data_dag.extract_data manual__2024-05-12T15:32:20.356671+00:00 [queued]>
[2024-05-12T20:32:24.273+0500] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-05-12T20:32:24.293+0500] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): extract_data> on 2024-05-12 15:32:20.356671+00:00
[2024-05-12T20:32:24.296+0500] {standard_task_runner.py:63} INFO - Started process 13602 to run task
[2024-05-12T20:32:24.299+0500] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'extract_transform_load_data_dag', 'extract_data', 'manual__2024-05-12T15:32:20.356671+00:00', '--job-id', '4', '--raw', '--subdir', '/home/awahab02/mlops_assignment_2/myenv/lib/python3.10/site-packages/airflow/example_dags/dagfile.py', '--cfg-path', '/tmp/tmpbtjneqy4']
[2024-05-12T20:32:24.299+0500] {standard_task_runner.py:91} INFO - Job 4: Subtask extract_data
[2024-05-12T20:32:24.339+0500] {task_command.py:426} INFO - Running <TaskInstance: extract_transform_load_data_dag.extract_data manual__2024-05-12T15:32:20.356671+00:00 [running]> on host LAPTOP-DNNCGPVF.
[2024-05-12T20:32:24.481+0500] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='extract_transform_load_data_dag' AIRFLOW_CTX_TASK_ID='extract_data' AIRFLOW_CTX_EXECUTION_DATE='2024-05-12T15:32:20.356671+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-12T15:32:20.356671+00:00'
[2024-05-12T20:32:24.482+0500] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-12T20:32:25.333+0500] {logging_mixin.py:188} INFO - Total links: 522
[2024-05-12T20:32:25.333+0500] {logging_mixin.py:188} INFO - Extracting articles from BBC...
[2024-05-12T20:32:25.840+0500] {logging_mixin.py:188} INFO - 83/522 links done from BBC.
[2024-05-12T20:32:26.271+0500] {logging_mixin.py:188} INFO - 146/522 links done from BBC.
[2024-05-12T20:32:26.848+0500] {logging_mixin.py:188} INFO - 156/522 links done from BBC.
[2024-05-12T20:32:27.249+0500] {logging_mixin.py:188} INFO - 183/522 links done from BBC.
[2024-05-12T20:32:27.640+0500] {logging_mixin.py:188} INFO - 194/522 links done from BBC.
[2024-05-12T20:32:28.734+0500] {logging_mixin.py:188} INFO - 198/522 links done from BBC.
[2024-05-12T20:32:29.050+0500] {logging_mixin.py:188} INFO - 199/522 links done from BBC.
[2024-05-12T20:32:29.549+0500] {logging_mixin.py:188} INFO - 202/522 links done from BBC.
[2024-05-12T20:32:29.886+0500] {logging_mixin.py:188} INFO - 203/522 links done from BBC.
[2024-05-12T20:32:30.155+0500] {logging_mixin.py:188} INFO - 204/522 links done from BBC.
[2024-05-12T20:32:30.155+0500] {logging_mixin.py:188} INFO - Extracting articles from Dawn...
[2024-05-12T20:32:31.033+0500] {logging_mixin.py:188} INFO - 212/522 links done from Dawn.
[2024-05-12T20:32:31.552+0500] {logging_mixin.py:188} INFO - 214/522 links done from Dawn.
[2024-05-12T20:32:31.960+0500] {logging_mixin.py:188} INFO - 217/522 links done from Dawn.
[2024-05-12T20:32:32.273+0500] {logging_mixin.py:188} INFO - 221/522 links done from Dawn.
[2024-05-12T20:32:32.688+0500] {logging_mixin.py:188} INFO - 237/522 links done from Dawn.
[2024-05-12T20:32:33.024+0500] {logging_mixin.py:188} INFO - 254/522 links done from Dawn.
[2024-05-12T20:32:33.374+0500] {logging_mixin.py:188} INFO - 255/522 links done from Dawn.
